Rank,Name,Symbol,marketcap,price (USD),country,Sector
191,bioMérieux,BIM.PA,12895503764,109.35,France, Health Care
192,Knorr-Bremse,KBX.DE,12785786796,79.3163,Germany, Industrials
193,EDP Renováveis,EDPR.LS,12765598326,11.9487,Spain, Utilities
194,Renault,RNO.PA,12643333411,43.6644,France, Consumer Discretionary
195,Jerónimo Martins,JEM.F,12626397049,20.0582,Portugal, Consumer Staples
196,Fresenius Medical Care,FMS,12529916928,21.335,Germany, Health Care
197,Allegion,ALLE,12465660928,143.4,Ireland, Industrials
198,Lundbergföretagen,LUND-B.ST,12396183629,49.9846,Sweden, Finance
199,Pandora,PNDORA.CO,12147880869,152.967,Denmark, Consumer Discretionary
200,Continental,CON.DE,12138830376,60.6923,Germany, Consumer Discretionary
201,Porsche SE,PAH3.DE,12133748474,39.6204,Germany, Consumer Discretionary
202,Bouygues,EN.PA,12076517994,32.0824,France, Industrials
203,Santander Polska,SPL.WA,12019091003,117.616,Poland, Finance
204,Puig Brands,PUIG.MC,12018644823,21.3361,Spain, Consumer Discretionary
205,SPEEH Hidroelectrica,H2O.RO,11976281798,26.6256,Romania, Utilities
206,Covestro,1COV.F,11768362791,61.9648,Germany, Basic Materials
207,Wärtsilä,WRT1V.HE,11701576965,19.8641,Finland, Industrials
208,SAAB AB,SAAB-B.ST,11648300087,21.747,Sweden, Industrials
209,Accor,AC.PA,11535668647,47.3417,France, Consumer Discretionary
210,Grupo ACS,ACS.MC,11508474617,46.6731,Spain, Industrials
211,D'Ieteren Group,DIE.BR,11504882390,216.758,Belgium, Consumer Discretionary
212,Euronext,ENX.PA,11365674487,108.271,Netherlands, Finance
213,Aéroports de Paris,ADP.PA,11244828573,113.232,France, Industrials
214,Telia Company,TELIA.ST,11202331008,2.84894,Sweden, Telecommunications
215,Recordati,REC.MI,11188542254,54.1357,Italy, Health Care
216,Delivery Hero,DHER.F,11166969015,38.4342,Germany,  Consumer Discretionary
217,Unibail-Rodamco-Westfield,URW.PA,11080387844,79.1977,France, Real Estate
218,Banco BPM,BAMI.MI,10977414722,7.31155,Italy, Finance
219,Lotus Bakeries,LOTB.BR,10901508638,13156.5,Belgium, Consumer Staples
220,AEGON,AEG,10774351872,6.5901,Netherlands, Finance
221,AkzoNobel,AKZA.AS,10745683511,62.9138,Netherlands, Basic Materials
222,Akelius Residential Property,AKEL-D.ST,10665286315,1.75995,Sweden, Real Estate
223,Carrefour,CA.PA,10662144635,16.3917,France, Consumer Staples
224,HELLA,HLE.F,10605305071,95.1149,Germany, Consumer Discretionary
225,Rational AG,RAA.F,10434454869,917.718,Germany, Consumer Discretionary
226,Swedish Orphan Biovitrum,SOBI.ST,10402395382,30.2892,Sweden, Health Care
227,Neste,NESTE.HE,10372117313,13.5016,Finland, Energy
228,Banco Sabadell,SAB.MC,10289343703,1.89421,Spain, Finance
229,ASR Nederland,ASRNL.AS,10216651077,48.4201,Netherlands, Finance
230,Deutsche Wohnen,DWNI.DE,10166295852,25.612,Germany, Real Estate
231,Bank Pekao (Bank Polska Kasa Opieki),PEO.WA,10076640634,38.3916,Poland, Finance
232,Vivendi,VIV.PA,10039035169,10.1046,France, Communication Services
233,Globant,GLOB,10038898688,232.69,Luxembourg, Technology
234,Alstom,ALO.PA,10013568235,21.6974,France, Industrials
235,JDE Peet's,JDEP.AS,9985245629,20.3602,Netherlands, Consumer Staples
236,Indutrade,INDT.ST,9907080109,27.1931,Sweden, Industrials
237,INWIT,INW.MI,9853646225,10.482,Italy, Real Estate
238,Ipsen,IPN.PA,9785149867,118.3,France, Health Care
239,Qiagen,QGEN,9783181312,44.02,Netherlands, Health Care
240,FinecoBank,FBK.MI,9740561199,15.9441,Italy, Finance
241,Amer Sports,AS,9647748096,19.095,Finland, Consumer Discretionary
242,Fastighets AB Balder,BALD-B.ST,9623604960,8.08706,Sweden, Real Estate
243,Red Eléctrica,RED.MC,9543918525,17.675,Spain, Utilities
244,Dino Polska,DNP.WA,9516027740,97.0627,Poland, Consumer Staples
245,Brenntag,BNR.DE,9497988155,65.7824,Germany, Basic Materials
246,ageas,AGS.BR,9468728015,51.7632,Belgium, Finance
247,Bank of Ireland Group,BIRG.IR,9392428806,9.36051,Ireland, Finance
248,Rockwool,ROCK-B.CO,9338510228,441.262,Denmark, Basic Materials
249,InPost,INPST.AS,9319371767,18.6455,Luxembourg, Industrials
250,IMCD,IMCD.AS,9307292035,163.431,Netherlands, Basic Materials
251,NIBE Industrier,NIBE-B.ST,9295132751,4.61052,Sweden, Industrials
252,Evonik Industries,EVK.DE,9271757369,19.8965,Germany, Basic Materials
253,Hochtief,HOT.F,9256605526,122.506,Germany, Industrials
254,Eurofins Scientific,ERF.PA,9241616012,49.0456,Luxembourg, Health Care
255,BE Semiconductor,BESI.AS,9240466455,116.359,Netherlands, Technology
256,Banca Mediolanum,BMED.MI,9200277244,12.4771,Italy, Finance
257,Edison,EDNR.MI,9193364995,1.91955,Italy, Utilities
258,CTS Eventim,EVD.F,9135778937,94.9531,Germany, Consumer Discretionary
259,Svenska Cellulosa Aktiebolaget (SCA),SCA-B.ST,9127579219,12.9951,Sweden, Consumer Staples
260,Allegro.eu,ALE.WA,9094924163,8.60634,Poland, Consumer Discretionary
261,GBL,GBLB.VI,9068755691,71.7136,Belgium, Finance
262,Getlink,GET.PA,9000448718,16.5912,France, Industrials
263,SKF (Svenska Kullagerfabriken),SKF-B.ST,8960924086,19.6675,Sweden, Industrials
264,Klépierre,LI.PA,8840757502,30.9285,France, Real Estate
265,Powszechny Zakład Ubezpieczeń,PZU.WA,8807551072,10.1996,Poland, Finance
266,BPER Banca,BPE.MI,8777107836,6.18354,Italy, Finance
267,Stora Enso,STEAV.HE,8756321398,11.1075,Finland, Basic Materials
268,Skanska,SKA-B.ST,8695187716,21.1502,Sweden, Industrials
269,Birkenstock,BIRK,8691786752,46.275,Germany, Consumer Discretionary
270,Unipol Gruppo,UNI.MI,8673136996,12.1104,Italy, Finance
271,Rexel,RXL.PA,8659626667,29.1923,France, Industrials
272,Zealand Pharma,ZEAL.CO,8636115453,122.243,Denmark, Health Care
273,Eiffage,FGR.PA,8625401678,90.3268,France, Industrials
274,Mapfre,MAP.MC,8576676372,2.79737,Spain, Finance
275,DWS Group,DWS.F,8566806859,42.834,Germany, Finance
276,Boliden,BOL.ST,8484683728,31.0259,Sweden, Basic Materials
277,Kesko,KESKOA.HE,8403433417,20.8994,Finland, Consumer Staples
278,Sagax,SAGA-B.ST,8368806420,23.5748,Sweden, Real Estate
279,Demant,DEMANT.CO,8348190376,37.8514,Denmark, Health Care
280,GEA Group,G1A.F,8181254239,48.8731,Germany, Industrials
281,ING Bank Slaski,ING.WA,8167916267,62.7818,Poland, Finance
